Date,Strategy1,Strategy2,Strategy3,Strategy4,Strategy5,Strategy6,Strategy7,Strategy8,Strategy9,Strategy10,Strategy11,Strategy12,Strategy13,Strategy14,Strategy15
2010-11-26,457409,-810,97488,-490865,-127470,60463,-137647,-241654,-286390,-371658,236707,-38181,727005,21246,451407
2010-11-29,622993,-297139,183483,-159285,-473171,22471,-410627,-450779,574968,129968,195727,-10175,54194,241550,473888
2010-11-30,147901,48366,225585,147716,700037,166330,-595458,-15393,-236167,-182995,-67295,470678,-308643,274926,76888
2010-12-01,-148229,-230167,171081,329299,152820,-66896,96308,242038,459087,294312,470038,-47486,130005,636832,196743
2010-12-02,128764,-440393,-40675,-59832,-159361,40694,291556,170802,-134089,157952,-291343,-12563,176778,44004,-68230
2010-12-03,297473,172665,-243148,152256,-142738,91650,575901,-153349,213876,-287152,-242656,-349446,339192,302578,-330388
2010-12-06,1819,-160703,111916,-375614,308321,-55952,521768,-266090,335628,79301,234508,-794699,-18456,-125165,-177320
2010-12-07,481687,254600,671228,-283224,428991,181200,-222253,-196000,8106,-385179,-435457,-231452,178726,7754,-212131
2010-12-08,412409,238968,-214015,-431928,-140822,-110108,-291272,420182,-126403,-141062,-134130,145031,183759,-301231,-9822
2010-12-09,279042,164759,490941,655151,343877,-49620,-84998,497482,-247659,337510,318038,601545,88401,-306838,-157440
2010-12-10,-228149,-98859,-576419,40857,660253,-155488,-347767,-94183,47821,178227,53735,93715,330251,432839,-450781
2010-12-13,16659,407032,-67505,61943,183002,109626,49666,133598,-118421,-30074,395986,-525995,-713248,-204161,-117210
2010-12-14,-515830,-67627,-66707,155072,82105,18643,-376540,-406221,-313614,-417792,308490,-226338,44595,88376,-91297
2010-12-15,51963,-96498,527698,71971,-259977,298176,139213,389055,169089,37422,205558,340538,-43754,-371565,60765
2010-12-16,206895,431446,18492,-244973,196682,642123,376145,-456156,234067,-402720,-160408,277507,-210716,495851,118511
2010-12-17,-531040,169705,307611,308202,143852,-69578,-623681,472663,321098,-236531,361006,-125461,6962,237360,261356
2010-12-20,494092,225570,-650087,-326413,-651480,25308,-349668,529178,33157,-100800,-406902,358256,105361,-241693,-35693
2010-12-21,-491117,56638,158431,170098,-583656,156840,202606,-39485,83997,256432,663273,-265842,133549,-130079,141607
2010-12-22,224418,307006,344361,-125284,65732,-23088,470395,-228246,270224,-358352,262908,-111839,57643,-231445,168943
2010-12-23,-164176,-249191,-133289,146063,152245,-197583,567204,-58292,262063,553193,154145,-228572,-216638,-77960,132276
2010-12-24,207788,705987,326076,-413758,503215,35457,9525,350780,306248,-193252,6431,-22204,-318024,-219278,222054
2010-12-27,284941,252318,-112056,-204176,111981,-26485,-99560,201632,-206262,134696,-17046,350777,555403,192253,175229
2010-12-28,496789,-100127,269306,105846,768146,-443555,-339186,-52734,90515,14462,142086,-27889,-635023,28652,57075
2010-12-29,-369125,-89261,306277,-26122,-256398,-258190,642347,227929,-184827,534263,375329,145490,342149,511595,91122
2010-12-30,430226,10339,198905,-75524,373803,-406595,243444,282411,366124,54587,-157731,375630,-847549,135253,197978
2010-12-31,444291,-188929,85809,748928,-284671,727795,5471,-116806,364872,-353679,7198,31869,386751,1023569,231099
2011-01-03,301642,229608,72374,50534,71238,-405167,7164,-470659,-269398,-539464,-54546,-450847,81779,-499727,-224372
2011-01-04,-126414,-74842,118945,-23602,452695,148895,-89000,-17090,605050,-223433,-79553,-44951,79218,-144973,266962
2011-01-05,7888,207019,181321,-34384,269531,-97269,142724,-298300,169490,349285,843396,-233339,70534,-210591,121892
2011-01-06,202659,493568,-31358,351752,7918,9091,335239,-374082,-594257,-109318,-607813,-24088,483058,199099,65623
2011-01-07,-14052,582425,-246527,-756157,-432629,-299865,10828,-93450,586989,-325327,-162839,-329875,-30683,887325,34526
2011-01-10,102434,544144,111490,105788,-553120,-430014,-40740,501791,408890,-370632,392991,365165,-82653,174769,136873
2011-01-11,1005161,305168,741669,-65280,20127,-535832,9011,235140,74838,115886,-383915,175194,121254,89077,-448763
2011-01-12,-97420,-290359,622672,3783,-42751,-45375,56250,-219043,207674,499543,-45549,543916,-337629,-568391,297857
2011-01-13,-209675,-387405,3792,137030,11273,403072,-269698,656844,256039,-117242,-149737,-60007,669865,-665663,-221801
2011-01-14,-201418,-40471,-353271,140626,330470,-9629,-304696,-202783,-63378,-465919,106143,90055,250917,368602,-271390
2011-01-17,402483,-148432,108180,-333518,-114284,73792,-15959,2853,42585,46478,-350239,361253,246342,213711,227716
2011-01-18,77818,510285,-403705,394470,-506234,609570,-99365,-19267,-175118,101505,-578319,-735115,140805,59074,-267560
2011-01-19,-421998,-403952,320826,28654,147214,405354,-88516,809621,-127291,689543,-15993,568254,-152709,229206,584950
2011-01-20,-199870,158197,71885,245893,-558014,253663,-257582,312719,-253568,21880,-10163,255073,296872,213382,292438
2011-01-21,293476,-384627,411879,291266,-387561,400501,-53038,269505,-234191,197747,-138018,172635,-91782,-62776,162703
2011-01-24,667852,583194,394435,201260,-123817,183766,30177,-63956,-375431,69457,16472,-653741,13943,-408307,-239784
2011-01-25,40998,-18948,129904,-81546,-15558,176395,21431,426594,245846,-75650,179607,-205567,534007,343634,358
2011-01-26,476274,-119841,335772,-739436,202918,365613,-476189,-430123,-129384,33006,37098,102246,-128080,-94371,-45041
2011-01-27,41911,268840,-246166,-384421,46215,20406,354539,-603593,728138,-362943,82990,119677,46512,323638,201935
2011-01-28,-280912,-247210,-478251,-242265,569637,-157455,132109,-344975,-179685,413302,-369079,339522,110476,-262049,-91575
2011-01-31,253648,173604,260613,263179,-153808,130378,-97958,157741,167656,-202275,-150706,6762,25580,-4820,-241133
2011-02-01,-415597,298202,-69195,-218636,342042,-223177,300760,-64282,106929,271535,519548,85145,-433444,140250,-21495
2011-02-02,-134788,-351,-321317,142803,50719,375625,-90503,-165063,-460819,537581,237149,387454,-492046,-178827,158151
2011-02-03,211577,194741,324993,143580,-192914,224623,344118,454113,-229343,113853,441200,-68316,-1004524,111161,131130
2011-02-04,-491877,-148562,195786,-112506,147582,-160556,-122642,87946,-27675,164219,-116175,-379726,-49424,-41109,203257
2011-02-07,-264608,-298924,-169097,-86460,124769,-342653,-207169,-301565,324349,494720,541601,892338,491383,208736,-173832
2011-02-08,37403,138807,210157,361213,198200,-143087,-178252,-57229,464762,234540,670573,346269,-100907,-242938,468293
2011-02-09,-62694,639054,131943,-176987,-183040,216451,47458,-326793,236382,116141,-593613,269739,100827,294690,83250
2011-02-10,234270,380279,182544,-315951,-354704,-209529,142365,-147011,566417,-304474,655965,160511,-362987,141053,84341
2011-02-11,-214445,307600,-178517,95954,-65680,-15535,67616,-234048,282426,-134177,-297655,224555,405144,449427,-69446
2011-02-14,632538,-656977,41845,10035,141080,-497475,-216947,211743,74075,-202062,282728,-79280,197146,295765,-229191
2011-02-15,83558,198155,-116509,-1386,-174832,324432,-180751,106537,-231332,269658,-429744,5854,713181,-291878,-235105
2011-02-16,233238,-66926,-542814,-153875,389793,158326,432995,230054,203004,-199839,61334,562963,96267,-385096,-475468
2011-02-17,-938242,-28482,-493615,359202,216480,207944,-307400,65220,-289225,490132,139950,491514,302966,179521,169564
2011-02-18,-89233,-157629,-143814,-439638,222246,151944,111385,-992948,45139,291062,166610,-538609,126694,100631,-311179
2011-02-21,534917,933077,154610,-62686,220821,-426886,138838,-523470,-72514,148736,-17339,-337726,-546562,285336,-144410
2011-02-22,515189,-100694,479138,430872,-360940,667278,-361423,-406677,-521760,-37771,-299274,509683,211776,-136748,-4114
2011-02-23,-198964,1001866,52173,9786,-268448,36863,342192,152550,-328177,193559,163510,453121,-216014,214729,244343
2011-02-24,-11573,83194,-81137,-121979,273821,343517,19965,52557,-254353,-46215,-191237,-147357,160197,-255940,365521
2011-02-25,309034,530004,-65105,798989,427191,-363052,239062,563263,20888,343057,-225500,37375,330789,146230,246116
2011-02-28,227707,554360,435903,-125531,-428303,185380,-529477,-134106,-699610,-277803,-160067,-6425,-8527,453302,-161155
2011-03-01,-343619,208790,272657,-249558,-118897,-111774,728397,-172829,-594739,-32908,-51097,-95846,-7815,-85004,-518553
2011-03-02,-396077,-162309,-330680,398345,599930,114860,-7397,-130334,-149077,-19677,351785,-288693,283556,273627,-322735
2011-03-03,752802,589724,607305,-379832,-321066,346174,789,237944,139937,-205039,-389707,448677,-113203,-25044,-308077
2011-03-04,25049,149757,644930,-216463,564647,334981,-134997,-48563,-360896,127902,209965,-753347,-237785,-285066,-48478
2011-03-07,44434,-199599,508244,-245784,74543,331043,252939,445394,31564,191996,-318199,-150355,-112762,204510,-543160
2011-03-08,419221,523507,181433,474635,-351525,8662,193494,332129,-242326,578374,187912,39603,443262,180704,56377
2011-03-09,512206,-537871,928011,151967,179492,-147144,521839,-387240,129388,-371384,-193148,36016,550846,72922,-221141
2011-03-10,485555,-415745,-48175,23752,181677,-293243,19653,577578,462347,626051,233367,446681,-22686,-106981,-28866
2011-03-11,13049,-25236,-266372,-113296,-39718,-73489,204791,307122,134360,-59311,426505,392726,472298,46073,-277108
2011-03-14,-141171,-179570,-105849,-280338,83793,396870,97218,-237736,474208,348943,331568,181367,272334,-79507,657790
2011-03-15,-211633,-311307,110656,253517,157767,56860,-121876,-131776,68291,-206653,-318105,17404,-236320,317289,-109124
2011-03-16,-12449,203248,-324933,-128489,324028,177586,-195486,-140321,-74426,174082,-337450,173269,180070,81606,15457
2011-03-17,137969,192896,-81347,-358037,118586,98634,100974,-24863,298662,-389257,459972,571596,-464922,-409589,182737
2011-03-18,-13984,-345510,-106608,-353449,291723,424716,183395,16894,-245827,253810,-377308,-327009,449871,272025,-43477
2011-03-21,302856,-176813,530292,-44934,-108549,423008,122545,48626,-184794,618130,-334444,-238877,-98394,-209704,262039
2011-03-22,341571,-403208,775252,-141177,-231166,-36103,-299534,9276,228631,199491,290729,294202,-127717,218277,-224202
2011-03-23,130853,145931,393788,-190696,-196499,195612,254639,-61505,189925,-221903,-294921,-158212,22380,143921,-279437
2011-03-24,190525,-16863,408510,326388,76400,-349351,-409153,92847,386401,-255623,-369860,4654,174272,82425,228513
2011-03-25,-506657,-356979,-94616,-143975,179229,-203289,-541614,260291,-391233,235183,109842,-371625,-311146,305735,-154176
2011-03-28,-439160,-214390,-74183,-278766,28664,-439654,-126431,-273098,-229451,578719,-63753,-354834,-693895,-396344,113026
2011-03-29,-483046,164899,231075,95261,-131278,540974,-218832,-74570,224450,9597,-39838,-92961,-223656,-669894,-83233
2011-03-30,159398,-259903,-271560,-649806,119522,108855,135959,-41411,-38345,125677,-375586,243092,205139,-181631,-285192
2011-03-31,102040,175446,269210,530807,-71162,1124408,-87304,-488918,232571,-473386,-286911,-219039,-154248,80262,184011
2011-04-01,-334882,63192,-26300,361493,-195670,565079,-252988,-390943,-281814,548025,375046,-264849,82563,-105854,259017
2011-04-04,388566,501382,207745,540383,279233,-346663,239370,193431,78364,-154549,-7007,-340577,-119372,-647635,-66372
2011-04-05,-295643,-144894,-288956,-224600,-48765,-205748,181460,433648,219088,-18513,-608819,273940,221075,407811,-153189
2011-04-06,399106,13346,170790,124044,-527991,25049,207887,371120,309094,136786,-248187,264271,-220420,370435,490034
2011-04-07,268299,123015,248223,-474820,-467622,127330,39684,312129,-68069,-562437,-201192,258915,53005,-179658,70745
2011-04-08,-38484,-115631,134035,197143,-106215,-108825,-57606,-257157,385784,-131450,601833,-160059,708407,-353104,429788
2011-04-11,220730,-59802,213508,221037,25088,251830,450883,250983,141353,176511,299275,-394890,-236998,-232033,252641
2011-04-12,-351408,228471,120280,279516,390663,-130079,-323607,-151543,71486,7911,-246393,-20173,369215,193108,499359
2011-04-13,-197449,104440,-461315,337464,70883,352307,-271149,48021,-92378,429817,245530,591450,-533487,293358,86271
2011-04-14,-270379,-176934,165477,-510130,18990,253383,457998,309460,-235892,356012,-114706,-259495,-258656,640945,78905
2011-04-15,94450,-178722,259944,306634,559529,298266,-337779,608305,-37400,-72598,26626,75496,180318,81863,216015
2011-04-18,-46480,40783,5363,-108191,-135760,-206574,19120,920477,-6775,115289,176082,14167,100007,294476,393227
2011-04-19,-124452,-105458,78940,209258,216429,175004,-429306,79897,-507046,94151,-28045,-203136,284628,153616,346504
2011-04-20,256937,-159723,-69277,-79411,-216390,318981,-27559,-549847,270650,-369845,-145798,-344960,-310623,-176554,53328
2011-04-21,31288,-71915,-234260,245155,45361,56476,205632,338116,250058,-133470,1587,393398,-240823,-565386,-114098
2011-04-22,-285071,-398512,-189640,632346,-314673,591107,371655,-11812,-71363,-273524,122775,253290,208762,381329,40675
2011-04-25,-113118,-157921,14190,72278,125718,-250609,-408234,134362,-487818,-139667,238950,-90209,414151,608507,537107
2011-04-26,-81657,-452254,23777,634664,540791,12263,30154,295678,-51765,325178,-588,599402,-150715,-316070,-49369
2011-04-27,-153654,434399,243149,95573,119516,188807,-28477,-481686,265380,-326902,-117178,-25213,346291,293067,-484677
2011-04-28,94032,464342,146944,21281,-227321,-326862,147630,-368703,-460608,38856,-275032,-14074,61728,-649715,480291
2011-04-29,-4165,98830,-67077,-151481,-234013,-245417,461100,162694,-275666,-266507,520192,268615,55669,-224137,70655
2011-05-02,-12778,-169784,717146,230395,-87931,446868,27427,397330,428575,-33480,-509660,603255,-555996,-278509,245870
2011-05-03,-7329,-219432,15488,-28383,470924,-78935,-272721,281930,222410,63400,-78386,167328,-448624,-224570,19385
2011-05-04,324033,237467,-76630,-23474,-111270,222097,400955,-41559,80155,-85934,-554570,-145248,182148,-201015,328412
2011-05-05,379329,273743,60960,294755,721998,-593464,143191,94333,443773,-104591,-16561,528759,5043,327939,-357209
2011-05-06,-41568,215450,-376072,-165913,50377,-34849,195999,209879,-622227,-401023,287783,305449,-135941,-517066,180281
2011-05-09,171113,925945,398760,224493,-378428,-148344,-265879,177261,185209,-55086,213715,269931,433568,149586,258483
2011-05-10,-189311,209504,465359,-206096,178224,334546,-183617,39097,402974,74978,-155734,-112039,-109344,10288,641919
2011-05-11,539183,126856,720044,-250499,80996,526423,395612,335881,-11705,162508,-775307,-21720,90301,13540,281393
2011-05-12,-501528,68068,276661,406605,-326644,37192,393064,-249738,993022,6222,-485904,-116161,208373,235324,-43434
2011-05-13,-548471,480223,-30575,30525,405558,-239661,-251055,-623020,263342,253567,-197200,-157076,164848,382481,287321
2011-05-16,-260159,115557,213436,134269,661092,-54050,143577,429333,-356693,-550198,-602756,172595,164164,-42320,209747
2011-05-17,-53643,-298269,-182593,640655,-188709,549400,77307,-77980,123173,254165,53213,38316,-382980,223311,-93555
2011-05-18,266985,-50450,536105,271940,210774,-450352,33689,63909,193037,177524,-385245,625064,397477,200636,-178024
2011-05-19,-184314,-13746,128404,-381320,-261631,286294,323010,-28307,-761835,218011,585054,-371307,612146,276746,142724
2011-05-20,371752,-500878,252469,-65418,452457,612363,-542473,435771,-497,280342,-1076484,99042,526820,245049,80400
2011-05-23,-670355,-452225,62435,537940,-133370,-312468,815619,-132964,189714,74960,-165809,256142,85970,-85070,384168
2011-05-24,-420785,-79857,146973,181521,-565236,263739,-82094,329515,-127623,-338651,-102957,-392262,14103,57720,179232
2011-05-25,168826,-882,-5001,256950,-14962,30630,-53597,46666,227673,3988,69569,-95743,144852,-521898,-62236
2011-05-26,225889,439772,-515945,29020,-80365,260811,951788,170945,-315326,-440233,-503255,619115,-273054,196371,-255488
2011-05-27,156092,150388,282218,-556868,273014,161250,57609,623510,-52871,366939,20194,526687,234770,-108574,-186091
2011-05-30,-88918,272013,-144111,-55413,-39838,130727,-294473,-113910,395132,844363,-67536,-55237,52473,211105,131034
2011-05-31,-146204,-267073,-420531,319737,-461033,-3318,-85813,466039,75116,98532,-7005,-245866,161287,535721,415538
2011-06-01,73630,606646,252004,416985,-56174,-37759,24032,-225700,-41112,287250,680664,-422271,-149812,224470,-249863
2011-06-02,-298309,-211930,121433,-23261,-75843,225371,-24419,-125816,246486,605590,-412589,-111268,21746,-186914,-118077
2011-06-03,150338,7417,-343766,-133230,442576,-324580,331892,164940,306134,-84462,1161601,59785,550853,-212987,445267
2011-06-06,148990,523583,-122743,231009,151450,208072,-111962,195613,-14670,254343,109205,43068,-532194,-33958,40023
2011-06-07,-106422,-13164,-122629,-22899,-40396,195947,75279,-73818,128799,-17758,-148531,-214950,-261999,-264355,475257
2011-06-08,365017,66007,-516620,-167868,602715,-82611,-197540,306062,-475557,-613238,430464,-18853,181959,108388,118166
2011-06-09,323400,-188605,439826,-371368,-361750,-422278,28278,126576,-1028,163032,-214334,-250926,283289,-380349,111622
2011-06-10,-50582,78193,-212624,-328073,-496995,94230,18476,-171026,322268,374042,-339660,211544,-93035,-168078,-320161
2011-06-13,-347752,-142024,216630,-332728,38703,-152003,-12766,-516262,125757,107842,175887,158029,494896,-165860,-144565
2011-06-14,-158894,379814,-35868,-17110,-115213,-405760,-579061,275488,310308,-468462,468665,-306949,298487,-50575,-344164
2011-06-15,-338223,-284880,534202,-239198,-1248,56808,-38192,177789,650544,-251133,-166900,173877,185996,45604,376927
2011-06-16,-456613,13798,-294810,40068,391570,-256806,376797,-368761,-236052,438358,-19069,163486,432640,-241005,74840
2011-06-17,-263051,588743,-440116,-145728,52692,-101523,205886,64316,-198046,667115,235167,215337,-326683,229339,202340
2011-06-20,-171264,444797,-595202,-232929,417382,-173381,-83906,-294344,-474868,111168,116640,-43809,152442,-230474,636796
2011-06-21,203383,-534244,754561,-34533,275426,-292387,212984,311736,181965,-518447,-320266,-259551,-241929,635636,-212247
2011-06-22,-36487,193048,10563,340715,288199,300382,370524,-491203,-86534,141132,476824,270459,66884,215727,657090
2011-06-23,316854,72743,-146343,-154862,222609,41041,303067,319026,-41976,128525,281235,140198,113195,-402238,-102842
2011-06-24,-634531,506649,422335,-275545,-21411,263451,266213,-194066,-68277,70401,149413,336542,-34983,13800,413794
2011-06-27,33964,30365,302277,-213964,464795,199364,-237328,170781,-617691,-3341,42597,168997,-338026,179981,324219
2011-06-28,-443113,459017,501350,162862,-323203,-221360,-55320,422409,-202884,277873,305098,150762,-106489,-205921,475317
2011-06-29,388061,108246,-93224,-291011,927794,-615751,82747,329224,-371298,-394641,223629,427045,-95176,719945,-186389
2011-06-30,477754,408788,-200936,-156887,-121139,81151,7998,85779,-452341,-62896,-107311,-225867,597225,281713,255338
2011-07-01,-69792,-409547,-456022,448436,-67064,-198639,27571,13939,691762,-577669,178648,159076,9214,-253433,-390380
2011-07-04,41556,440244,-61117,-21542,-699821,25868,192350,-135510,497215,79164,21231,183074,-180926,113279,-566158
2011-07-05,521292,170603,-276716,77065,-340840,311295,-555218,-283866,606508,-209114,247361,261247,-386995,301282,342313
2011-07-06,616251,-322022,15821,169112,198915,327588,-298335,-323239,157285,359475,77708,406495,742284,45829,-538942
2011-07-07,76091,-200290,181065,63069,88359,-284697,480473,-334263,487464,468188,519731,174142,-475580,-149563,394762
2011-07-08,-44330,-321862,-22503,378423,301926,73993,214875,-29290,28185,166543,219654,143561,157479,34005,99622
2011-07-11,256001,256742,261829,752541,152435,1132,366781,-50718,339373,106718,-42678,622531,648824,137749,40638
2011-07-12,366310,-400058,-367081,-57800,287695,600129,-129563,-344345,-56885,-569735,-144879,-45983,77652,-275267,236590
2011-07-13,355306,293734,189729,-314201,133173,-467411,239443,105710,419038,92258,-55693,98633,260481,586333,615279
2011-07-14,-78487,363055,-4317,193584,421231,-30926,-97771,124250,24883,351006,-118237,133623,451134,-358696,276286
2011-07-15,438736,88893,-432512,-320199,-301759,190160,30959,737505,-274489,384052,283996,-18363,165318,260643,1016836
2011-07-18,237977,184946,-391662,718913,35506,-246937,64560,143138,416333,-359620,-624342,393511,-332777,284555,-462697
2011-07-19,435822,-323960,293816,67025,-240567,95615,19030,-52328,-42951,88073,137440,-149320,-349879,-299452,-325713
2011-07-20,-245844,-98872,196688,-280444,-358078,13064,-597229,-353344,83266,-53726,-113340,211718,166758,-217747,-37710
2011-07-21,26966,160778,-233499,555166,-460848,-181132,252644,-336763,63348,-186510,90490,-683948,243803,-126980,-324108
2011-07-22,-406007,15028,-320254,-433498,48091,453724,527768,-37251,-104574,124335,151428,-200312,-184959,-156510,-217003
2011-07-25,337338,-94023,56334,-344258,571607,-118582,-305246,95206,-602394,-700780,-93147,-32435,54730,50719,-257397
2011-07-26,325037,75160,-91184,209709,-84189,56462,63260,213757,-275297,-400805,-130827,537854,149769,364169,-349864
2011-07-27,303870,-52659,-72149,-45335,-135328,74431,-119053,-37418,29598,-226035,-500925,-122686,-46995,-195767,746783
2011-07-28,78369,155876,400677,-109816,-304937,-443027,124290,73437,38227,-99677,380726,-516071,131530,-309513,177706
2011-07-29,470210,-293014,-359343,-561884,98004,66948,-19876,37375,-127946,66919,-321931,324589,-520921,300369,960540
2011-08-01,-34853,-109175,-589005,286771,-683194,-567226,-167308,678770,-357675,-522655,-672421,154400,69236,-274769,-70292
2011-08-02,519189,417213,159478,390955,247589,349589,-181606,-526200,-416068,-165554,57013,-534673,333727,60023,-411142
2011-08-03,-131312,190598,-474002,-257377,-327099,147160,-400194,-228212,710830,305341,9906,-204668,121658,512089,-134336
2011-08-04,-44739,-191160,-176251,-299454,169066,-27752,-515588,-463618,224269,-79601,-258197,-256105,11610,381955,86081
2011-08-05,42521,38027,-200921,307461,43858,481576,-211991,-325366,587663,462679,-217925,-577882,54852,-346912,247225
2011-08-08,-71943,306761,32318,54250,81191,316086,153488,-89754,-65273,263610,-296430,-221795,-51727,-80066,163143
2011-08-09,683714,-398144,-219886,-329816,123888,423201,174248,-302676,-297340,147750,-144316,-721271,258000,267796,186152
2011-08-10,-306286,109643,576160,-338734,-856389,-9580,-123953,-271217,-134419,173006,-307948,124888,-406730,766529,-471958
2011-08-11,-280058,328855,-63756,-283495,721419,85587,-74833,148666,-198358,207017,273769,-141187,291084,827591,-352537
2011-08-12,258721,-380856,-690825,-185122,235069,-43172,-301972,272847,279843,120640,-123035,483320,-241036,-582132,635887
2011-08-15,-392798,307469,163268,-309211,333067,429717,349456,-81758,14433,-132029,442547,726888,8108,-54319,330203
2011-08-16,-170111,-138392,-31255,-35036,-636983,600969,198873,-57998,40097,-371505,85221,-185607,-206693,347424,-70925
2011-08-17,154517,476977,-800550,341564,445047,323144,59882,620312,100859,-156379,166934,-253154,5264,-262462,-338425
2011-08-18,245625,-353109,-174873,-76459,103144,32185,-325249,121550,243936,-128422,107280,382259,315234,-120969,391255
2011-08-19,60507,-159670,761083,83131,169468,17274,-42319,351555,330732,-202139,563414,-431224,-651133,89189,-13439
2011-08-22,257113,129491,52092,79672,12708,13910,347728,-112601,-243476,248812,186965,317712,15394,-56625,391088
2011-08-23,100393,73916,295448,45317,-278606,359631,87471,159186,-347952,293702,-361536,-157010,320309,-589230,-137816
2011-08-24,365841,-136972,487718,-6042,507019,-242546,-312814,233153,-444693,68007,-1091310,-432596,-146392,60275,-173963
2011-08-25,-509249,389682,396158,-368158,-603065,214237,-101302,157768,156996,79952,975126,46247,-51129,-59154,416693
2011-08-26,646343,24156,304442,981504,-124193,-260717,55198,-407834,273870,416172,-31690,241804,11778,247081,510328
2011-08-29,363683,433103,270078,-198175,575355,-227589,368334,502007,-382212,238583,-107173,-19458,181484,461047,328814
2011-08-30,172360,352403,-57962,101607,-514675,-302339,-251087,116557,576435,278307,-546358,-176711,-170327,-253246,235978
2011-08-31,60083,640007,-114478,81320,-126236,204355,-1693,247155,144219,105489,-58782,-341557,-50332,-133238,32177
2011-09-01,426308,-59871,561631,-386010,465716,-308978,-536189,477505,246615,-214613,-260706,-401189,-149630,54059,-468465
2011-09-02,253283,161791,-48000,182208,-738047,-146112,-283676,327040,-144955,173238,-322087,208391,15228,417637,-144203
2011-09-05,-116032,-602974,386677,365097,-108480,64741,-21411,-109969,-395798,-304172,194308,190387,284277,-39735,-156862
2011-09-06,219192,-98800,212804,221715,85875,-486821,195011,-86059,108245,-356763,-496183,-176569,113890,-373077,-200902
2011-09-07,541478,-148643,102649,-267801,98673,-358131,272371,135285,301074,317947,-71228,86,-264688,239879,75223
2011-09-08,-281689,-98151,-306012,-143672,246706,378926,600211,-94886,-59098,-136407,209318,-351894,269822,-178759,-362379
2011-09-09,115933,228725,-643979,161504,-392759,-107228,63912,36753,-40917,5691,-100155,-365245,210167,-125333,136549
2011-09-12,-297374,-220032,-144685,274970,-328573,-98383,-2600,834428,367697,545637,-190022,131788,-203022,-200856,95061
2011-09-13,358308,-103290,-299403,144005,-307517,126281,-14004,-61947,-56006,252214,-228726,-364921,291307,91420,313951
2011-09-14,189917,-331592,5450,132004,310902,354543,-73790,38374,-99278,363133,-242604,-7651,-286443,-175937,-274880
2011-09-15,434078,7223,87498,230971,195781,488848,126343,409187,-421597,-146308,-403695,-518391,-3911,-158026,-105082
2011-09-16,672488,129207,401285,-178377,303342,-107806,-140685,133718,619397,139517,-10884,-393388,119390,-595277,-243879
2011-09-19,281120,-279474,589737,34984,496285,-197571,479277,135380,-532010,114604,534747,-44411,-1180887,381288,-68275
2011-09-20,-121685,-68729,-5557,139272,-5513,379546,-266707,-270415,405650,71630,-109904,637431,64519,13642,-335497
2011-09-21,-312518,-212356,-85225,-72838,-2043,333114,-580853,124099,7184,199893,-312837,131434,62166,-260657,-162448
2011-09-22,-292106,555362,91534,32517,-288816,12506,-84388,61536,8210,-432429,110197,427346,-146511,-702226,42914
2011-09-23,150144,-2019,600699,29350,221229,213286,-154262,546425,-64127,-499379,-465919,52591,-117895,-78198,389345
2011-09-26,-60695,275199,-467992,-78314,-212535,361218,132993,447645,-480580,-61153,-115861,646404,521828,296279,448961
2011-09-27,-416855,-59258,-370986,721986,254322,38630,708461,321754,253321,-183911,27286,159358,759225,30602,-201012
2011-09-28,-56887,-7005,-268865,-281870,-62444,-195342,109355,-69260,369579,-266972,-98423,504867,37144,-209759,-201938
2011-09-29,197001,204657,-799395,-10885,108651,198389,5734,401022,-260715,-409861,256290,204371,-26919,489969,27435
2011-09-30,-270714,588237,166793,-250253,-673994,128074,-221592,-39529,-749588,153438,-268032,229543,-148491,129000,-343503
2011-10-03,-427853,-829686,-121335,-635892,-186243,-183862,53673,57945,-42069,35042,639979,-373664,-127751,125496,165020
2011-10-04,116661,-222609,342503,184465,203971,20041,295752,-283004,654222,797024,-332298,118100,-94938,-259240,202333
2011-10-05,-425894,-259501,18841,-169003,8883,-112846,-207638,-82400,723637,100846,279783,447812,-282875,-40607,270378
2011-10-06,115585,-56743,-8745,-42166,25334,165244,-308890,11021,-410184,-220279,-119741,-507567,-3422,552430,495760
2011-10-07,-593192,-77945,426659,-123986,98112,-921405,-17304,-76346,-192234,162518,352234,-20059,-202396,-292194,-216857
2011-10-10,-98391,-147426,-81837,587491,-344835,279423,-88333,60537,395388,-58064,317195,-283097,109618,-117098,128522
2011-10-11,50862,311237,118187,246119,-764660,97252,-187283,-83494,40970,-275835,-29547,-210940,-419737,429922,-138158
2011-10-12,-155279,-241583,577278,403630,40612,308784,-489745,153183,125686,-97165,-42089,214723,255629,346717,-172347
2011-10-13,238210,-221747,-341153,-510591,-277078,220467,-105860,349375,44013,-124083,-5383,-142102,-87647,-90577,574183
2011-10-14,65192,405338,-32724,244094,-75380,-186960,-17627,-692441,189568,-258957,48640,-177748,-283253,-338579,95094
2011-10-17,612281,204740,-104097,-94937,-546967,-489904,373079,162754,-301969,-784847,179880,-245183,281189,-395836,396919
2011-10-18,-253812,218070,-136317,-123833,82126,226814,264071,184283,548264,-172519,52045,226113,176196,-51339,-116741
2011-10-19,-357554,863777,167846,-407578,-329310,384263,-566941,92164,103003,281819,366967,-325033,-826229,-166409,226319
2011-10-20,202516,-287253,281867,-171701,424798,267419,-430898,-134603,75090,-38677,-254537,127102,-196958,-10203,-230712
